time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2022-04-10,32.6,26.5,39.6,37,,,4.2,,1006.0,,
2022-04-11,33.3,27.1,40.6,36,,,4.5,,1005.9,,
2022-04-12,33.6,28.1,40.1,36,,,4.8,,1005.5,,
2022-04-13,33.2,27.8,39.5,38,,,3.5,,1004.5,,
2022-04-14,33.0,27.9,39.2,40,,,3.8,,1004.2,,
2022-04-15,33.2,27.8,39.4,40,,,3.4,,1004.7,,
2022-04-16,33.4,27.5,40.5,37,,,2.8,,1005.0,,
2022-04-17,34.1,27.2,41.9,34,,,2.7,,1004.7,,
2022-04-18,34.4,28.1,41.6,34,,,4.2,,1004.5,,
2022-04-19,34.2,28.4,40.7,36,,,6.9,,1004.7,,
2022-04-20,33.7,29.0,40.0,40,,,3.8,,1005.4,,
2022-04-21,33.3,28.2,39.4,43,,,3.7,,1005.0,,
2022-04-22,33.5,29.0,39.2,44,,,4.9,,1004.7,,
2022-04-23,33.5,29.1,38.7,45,,,7.3,,1003.5,,
2022-04-24,33.1,29.2,38.0,44,,,6.1,,1003.0,,
2022-04-25,32.9,28.2,38.5,44,,,5.0,,1003.8,,
2022-04-26,32.8,27.8,38.3,48,,,5.3,,1004.8,,
2022-04-27,32.8,28.1,38.4,48,,,5.5,,1003.5,,
2022-04-28,33.4,29.1,39.1,44,,,4.4,,1003.7,,
2022-04-29,33.8,27.9,40.8,43,,,2.7,,1006.2,,
2022-04-30,34.2,28.7,41.0,42,,,4.3,,1007.8,,
2022-05-01,34.0,29.0,39.7,47,,,4.3,,1006.8,,
2022-05-02,33.5,28.3,39.3,45,,,2.9,,1006.5,,
2022-05-03,34.3,27.7,41.7,38,,,2.9,,1006.3,,
2022-05-04,35.0,28.9,41.9,36,,,4.0,,1006.6,,
2022-05-05,34.2,29.5,39.9,41,,,2.7,,1007.4,,
2022-05-06,32.4,28.1,38.4,38,,,3.8,,1006.5,,
2022-05-07,30.8,25.3,37.8,33,,,4.2,,1006.6,,
2022-05-08,32.4,24.8,41.1,34,,,2.7,,1006.5,,
2022-05-09,34.8,27.1,43.1,33,,,2.1,,1005.9,,
2022-05-10,35.4,28.9,42.6,30,,,1.8,,1005.7,,
2022-05-11,35.2,28.9,42.9,29,,,2.3,,1007.0,,
2022-05-12,36.0,28.8,44.1,30,,,2.6,,1006.7,,
2022-05-13,36.7,30.4,43.5,31,,,2.8,,1005.9,,
2022-05-14,37.2,30.9,43.9,30,,,3.2,,1005.9,,
2022-05-15,38.0,30.9,45.3,26,,,2.7,,1006.0,,
2022-05-16,38.1,31.1,46.1,24,,,2.6,,1004.9,,
2022-05-17,37.2,30.5,44.3,29,,,2.3,,1003.9,,
2022-05-18,36.3,30.4,42.5,35,,,3.5,,1004.3,,
2022-05-19,36.4,30.0,43.4,35,,,3.3,,1005.4,,
2022-05-20,37.3,30.4,44.8,32,,,2.8,,1004.7,,
2022-05-21,37.5,30.9,44.7,30,,,3.6,,1004.2,,
2022-05-22,37.1,30.8,44.5,30,,,2.1,,1004.0,,
2022-05-23,34.5,30.1,40.8,34,,,3.5,,1003.5,,
2022-05-24,33.9,28.0,41.5,37,,,3.7,,1003.7,,
2022-05-25,34.8,28.5,42.4,38,,,2.4,,1005.1,,
2022-05-26,35.3,29.3,42.0,35,,,2.4,,1005.1,,
2022-05-27,35.1,29.5,42.0,29,,,8.3,,1005.3,,
2022-05-28,35.0,27.8,41.2,16,0.0,,12.7,,1005.7,,
2022-05-29,35.6,28.5,42.7,16,0.0,,13.8,,1006.2,,
2022-05-30,36.0,29.3,42.6,14,0.0,,16.3,,1005.9,,
2022-05-31,36.3,29.5,43.8,12,0.0,,16.5,,1004.6,,
2022-06-01,36.1,29.1,43.7,11,0.0,,17.5,,1003.4,,
2022-06-02,35.8,29.2,41.7,17,0.0,,16.0,,1003.2,,
2022-06-03,35.8,27.9,42.7,19,0.0,,14.5,,1003.7,,
2022-06-04,35.2,28.9,42.1,21,0.0,,13.7,,1004.8,,
